Zeit;Kanal A
(ms);(V)

-500,01996756;0,75049210
-500,00996756;0,75049210
-499,99996756;0,75049210
-499,98996756;0,79739790
-499,97996756;0,79739790
-499,96996756;0,79739790
-499,95996756;0,75049210
-499,94996756;0,75049210
-499,93996756;0,79739790
-499,92996756;0,75049210
-499,91996756;0,79739790
-499,90996756;0,75049210
-499,89996756;0,75049210
-499,88996756;0,75049210
-499,87996756;0,75049210
-499,86996756;0,79739790
-499,85996756;0,75049210
-499,84996756;0,75049210
-499,83996756;0,79739790
-499,82996756;0,79739790
-499,81996756;0,79739790
-499,80996756;0,75049210
-499,79996756;0,79739790
-499,78996756;0,75049210
-499,77996756;0,79739790
-499,76996756;0,75049210
-499,75996756;0,79739790
-499,74996756;0,75049210
-499,73996756;0,75049210
-499,72996756;0,75049210
-499,71996756;0,79739790
-499,70996756;0,75049210
-499,69996756;0,75049210
-499,68996756;0,75049210
-499,67996756;0,79739790
-499,66996756;0,75049210
-499,65996757;0,75049210
-499,64996757;0,75049210
-499,63996757;0,75049210
-499,62996757;0,75049210
-499,61996757;0,75049210
-499,60996757;0,75049210
-499,59996757;0,75049210
-499,58996757;0,75049210
-499,57996757;0,79739790
-499,56996757;0,75049210
-499,55996757;0,75049210
-499,54996757;0,75049210
-499,53996757;0,75049210
-499,52996757;0,79739790
-499,51996757;0,79739790
-499,50996757;0,75049210
-499,49996757;0,79739790
-499,48996757;0,79739790
-499,47996757;0,75049210
-499,46996757;0,75049210
-499,45996757;0,79739790
-499,44996757;0,75049210
-499,43996757;0,75049210
-499,42996757;0,79739790
-499,41996757;0,79739790
-499,40996757;0,75049210
-499,39996757;0,75049210
-499,38996757;0,79739790
-499,37996757;0,75049210
-499,36996757;0,79739790
-499,35996757;0,75049210
-499,34996757;0,75049210
-499,33996757;0,75049210
-499,32996757;0,79739790
-499,31996757;0,75049210
-499,30996757;0,75049210
-499,29996757;0,79739790
-499,28996757;0,79739790
-499,27996757;0,79739790
-499,26996757;0,75049210
-499,25996758;0,79739790
-499,24996758;0,79739790
-499,23996758;0,75049210
-499,22996758;0,79739790
-499,21996758;0,79739790
-499,20996758;0,79739790
-499,19996758;0,75049210
-499,18996758;0,75049210
-499,17996758;0,79739790
-499,16996758;0,79739790
-499,15996758;0,79739790
-499,14996758;0,75049210
-499,13996758;0,75049210
-499,12996758;0,75049210
-499,11996758;0,79739790
-499,10996758;0,75049210
-499,09996758;0,75049210
-499,08996758;0,75049210
-499,07996758;0,75049210
-499,06996758;0,79739790
-499,05996758;0,75049210
-499,04996758;0,75049210
-499,03996758;0,75049210
-499,02996758;0,79739790
-499,01996758;0,75049210
-499,00996758;0,79739790
-498,99996758;0,75049210
-498,98996758;0,79739790
-498,97996758;0,79739790
-498,96996758;0,79739790
-498,95996758;0,75049210
-498,94996758;0,75049210
-498,93996758;0,75049210
-498,92996758;0,79739790
-498,91996758;0,79739790
-498,90996758;0,75049210
-498,89996758;0,79739790
-498,88996758;0,79739790
-498,87996758;0,79739790
-498,86996759;0,75049210
-498,85996759;0,75049210
-498,84996759;0,75049210
