Zeit;Kanal A
(ms);(V)

-500,01001358;0,89013280
-500,00001358;0,84322710
-499,99001358;0,89013280
-499,98001358;0,89013280
-499,97001358;0,89013280
-499,96001358;0,89013280
-499,95001358;0,89013280
-499,94001358;0,89013280
-499,93001358;0,89013280
-499,92001358;0,89013280
-499,91001358;0,89013280
-499,90001358;0,89013280
-499,89001358;0,89013280
-499,88001358;0,89013280
-499,87001358;0,89013280
-499,86001358;0,89013280
-499,85001358;0,89013280
-499,84001358;0,89013280
-499,83001358;0,84322710
-499,82001359;0,89013280
-499,81001359;0,89013280
-499,80001359;0,89013280
-499,79001359;0,89013280
-499,78001359;0,89013280
-499,77001359;0,89013280
-499,76001359;0,89013280
-499,75001359;0,89013280
-499,74001359;0,89013280
-499,73001359;0,89013280
-499,72001359;0,89013280
-499,71001359;0,89013280
-499,70001359;0,89013280
-499,69001359;0,89013280
-499,68001359;0,89013280
-499,67001359;0,89013280
-499,66001359;0,89013280
-499,65001359;0,89013280
-499,64001359;0,89013280
-499,63001359;0,84322710
-499,62001359;0,89013280
-499,61001359;0,89013280
-499,60001359;0,89013280
-499,59001359;0,89013280
-499,58001359;0,89013280
-499,57001359;0,89013280
-499,56001359;0,89013280
-499,55001359;0,89013280
-499,54001359;0,89013280
-499,53001359;0,84322710
-499,52001359;0,89013280
-499,51001359;0,89013280
-499,50001359;0,89013280
-499,49001359;0,89013280
-499,48001359;0,89013280
-499,47001359;0,84322710
-499,46001359;0,89013280
-499,45001359;0,89013280
-499,44001359;0,89013280
-499,43001359;0,93688480
-499,42001360;0,89013280
-499,41001360;0,89013280
-499,40001360;0,89013280
-499,39001360;0,89013280
-499,38001360;0,89013280
-499,37001360;0,89013280
-499,36001360;0,89013280
-499,35001360;0,89013280
-499,34001360;0,89013280
-499,33001360;0,89013280
-499,32001360;0,89013280
-499,31001360;0,89013280
-499,30001360;0,89013280
-499,29001360;0,89013280
-499,28001360;0,89013280
-499,27001360;0,89013280
-499,26001360;0,89013280
-499,25001360;0,89013280
-499,24001360;0,93688480
-499,23001360;0,93688480
-499,22001360;0,89013280
-499,21001360;0,89013280
-499,20001360;0,89013280
-499,19001360;0,93688480
-499,18001360;0,89013280
-499,17001360;0,89013280
-499,16001360;0,89013280
-499,15001360;0,89013280
-499,14001360;0,89013280
-499,13001360;0,89013280
-499,12001360;0,89013280
-499,11001360;0,89013280
-499,10001360;0,89013280
-499,09001360;0,89013280
-499,08001360;0,89013280
-499,07001360;0,89013280
-499,06001360;0,89013280
-499,05001360;0,89013280
-499,04001360;0,84322710
-499,03001361;0,84322710
-499,02001361;0,89013280
-499,01001361;0,89013280
-499,00001361;0,84322710
-498,99001361;0,89013280
-498,98001361;0,89013280
-498,97001361;0,89013280
-498,96001361;0,89013280
-498,95001361;0,89013280
-498,94001361;0,89013280
-498,93001361;0,89013280
-498,92001361;0,89013280
-498,91001361;0,89013280
-498,90001361;0,84322710
-498,89001361;0,89013280
-498,88001361;0,89013280
-498,87001361;0,89013280
-498,86001361;0,93688480
-498,85001361;0,89013280
-498,84001361;0,89013280
