Zeit;Kanal A
(s);(V)

-2,5000999;1,454078
-2,5000499;1,407173
-2,4999999;1,407173
-2,4999499;1,407173
-2,4998999;1,407173
-2,4998499;1,407173
-2,4997999;1,407173
-2,4997499;1,407173
-2,4996999;1,407173
-2,4996499;1,454078
-2,4995999;1,407173
-2,4995499;1,407173
-2,4994999;1,454078
-2,4994499;1,454078
-2,4993999;1,407173
-2,4993499;1,407173
-2,4992999;1,407173
-2,4992499;1,454078
-2,4991999;1,407173
-2,4991499;1,407173
-2,4990999;1,407173
-2,4990499;1,407173
-2,4989999;1,407173
-2,4989499;1,407173
-2,4988999;1,407173
-2,4988499;1,407173
-2,4987999;1,407173
-2,4987499;1,360267
-2,4986999;1,407173
-2,4986499;1,407173
-2,4985999;1,407173
-2,4985499;1,407173
-2,4984999;1,407173
-2,4984499;1,454078
-2,4983999;1,407173
-2,4983499;1,407173
-2,4982999;1,407173
-2,4982499;1,407173
-2,4981999;1,407173
-2,4981499;1,407173
-2,4980999;1,407173
-2,4980499;1,454078
-2,4979999;1,407173
-2,4979499;1,407173
-2,4978999;1,454078
-2,4978499;1,407173
-2,4977999;1,407173
-2,4977499;1,454078
-2,4976999;1,407173
-2,4976499;1,407173
-2,4975999;1,407173
-2,4975499;1,454078
-2,4974999;1,407173
-2,4974499;1,407173
-2,4973999;1,407173
-2,4973499;1,407173
-2,4972999;1,407173
-2,4972499;1,407173
-2,4971999;1,407173
-2,4971499;1,407173
-2,4970999;1,407173
-2,4970499;1,407173
-2,4969999;1,407173
-2,4969499;1,407173
-2,4968999;1,407173
-2,4968499;1,407173
-2,4967999;1,407173
-2,4967499;1,407173
-2,4966999;1,407173
-2,4966499;1,407173
-2,4965999;1,407173
-2,4965499;1,454078
-2,4964999;1,407173
-2,4964499;1,407173
-2,4963999;1,407173
-2,4963499;1,407173
-2,4962999;1,407173
-2,4962499;1,407173
-2,4961999;1,407173
-2,4961499;1,407173
-2,4960999;1,407173
-2,4960499;1,407173
-2,4959999;1,407173
-2,4959499;1,407173
-2,4958999;1,407173
-2,4958499;1,407173
-2,4957999;1,407173
-2,4957499;1,407173
-2,4956999;1,407173
-2,4956499;1,407173
-2,4955999;1,454078
-2,4955499;1,407173
-2,4954999;1,407173
-2,4954499;1,454078
-2,4953999;1,407173
-2,4953499;1,407173
-2,4952999;1,407173
-2,4952499;1,407173
-2,4951999;1,407173
-2,4951499;1,407173
-2,4950999;1,407173
-2,4950499;1,407173
-2,4949999;1,407173
-2,4949499;1,407173
-2,4948999;1,407173
-2,4948499;1,407173
-2,4947999;1,407173
-2,4947499;1,407173
-2,4946999;1,454078
-2,4946499;1,407173
-2,4945999;1,407173
-2,4945499;1,407173
-2,4944999;1,407173
-2,4944499;1,407173
-2,4943999;1,407173
-2,4943499;1,454078
-2,4942999;1,407173
-2,4942499;1,407173
-2,4941999;1,407173
-2,4941499;1,407173
-2,4940999;1,407173
-2,4940499;1,407173
-2,4939999;1,407173
-2,4939499;1,360267
-2,4938999;1,454078
-2,4938499;1,407173
-2,4937999;1,407173
-2,4937499;1,454078
-2,4936999;1,407173
-2,4936499;1,407173
-2,4935999;1,407173
-2,4935499;1,454078
-2,4934999;1,407173
-2,4934499;1,407173
-2,4933999;1,407173
-2,4933499;1,407173
-2,4932999;1,407173
-2,4932499;1,454078
-2,4931999;1,454078
-2,4931499;1,407173
-2,4930999;1,407173
-2,4930499;1,407173
-2,4929999;1,407173
-2,4929499;1,407173
-2,4928999;1,407173
-2,4928499;1,407173
-2,4927999;1,360267
-2,4927499;1,407173
-2,4926999;1,407173
-2,4926499;1,407173
-2,4925999;1,454078
-2,4925499;1,454078
-2,4924999;1,407173
-2,4924499;1,407173
-2,4923999;1,407173
-2,4923499;1,407173
-2,4922999;1,407173
-2,4922499;1,407173
-2,4921999;1,407173
-2,4921499;1,360267
-2,4920999;1,407173
-2,4920499;1,407173
-2,4919999;1,360267
-2,4919499;1,407173
-2,4918999;1,407173
-2,4918499;1,407173
-2,4917999;1,407173
-2,4917499;1,407173
-2,4916999;1,407173
-2,4916499;1,454078
-2,4915999;1,407173
-2,4915499;1,454078
-2,4914999;1,407173
-2,4914499;1,407173
-2,4913999;1,407173
-2,4913499;1,407173
