Zeit;Kanal A
(ms);(mV)

-25,00666572;0,18516240
-25,00166572;0,00000000
-24,99666572;0,00000000
-24,99166572;-0,18516240
-24,98666572;0,18516240
-24,98166572;0,00000000
-24,97666572;-0,18516240
-24,97166572;0,55610230
-24,96666572;0,18516240
-24,96166572;-0,37032480
-24,95666572;-1,48314500
-24,95166572;-0,18516240
-24,94666572;0,18516240
-24,94166572;0,00000000
-24,93666572;0,55610230
-24,93166572;0,74126480
-24,92666572;0,00000000
-24,92166572;0,55610230
-24,91666572;-0,37032480
-24,91166572;0,55610230
-24,90666572;0,55610230
-24,90166572;0,55610230
-24,89666572;0,18516240
-24,89166572;0,18516240
-24,88666572;0,37032480
-24,88166572;0,18516240
-24,87666572;0,00000000
-24,87166572;0,55610230
-24,86666572;-0,18516240
-24,86166572;-0,18516240
-24,85666572;-0,37032480
-24,85166572;-0,37032480
-24,84666572;-0,37032480
-24,84166572;-0,74126480
-24,83666572;-0,74126480
-24,83166572;-1,29736700
-24,82666572;-0,55610230
-24,82166572;-1,29736700
-24,81666572;-0,37032480
-24,81166572;-1,29736700
-24,80666572;-1,29736700
-24,80166572;-1,66830700
-24,79666572;-1,85346900
-24,79166572;-2,59534900
-24,78666572;-2,59534900
-24,78166572;-2,59534900
-24,77666572;-3,52239200
-24,77166572;-5,19069900
-24,76666572;-4,44943400
-24,76166572;-4,81975800
-24,75666572;-4,26365700
-24,75166572;-4,63459600
-24,74666572;-5,00553600
-24,74166573;-4,44943400
-24,73666573;-3,89271600
-24,73166573;-3,52239200
-24,72666573;-3,15145200
-24,72166573;-2,59534900
-24,71666573;-0,92642710
-24,71166573;-1,48314500
-24,70666573;-0,55610230
-24,70166573;-0,55610230
-24,69666573;0,00000000
-24,69166573;-0,18516240
-24,68666573;-0,37032480
-24,68166573;-0,92642710
-24,67666573;-0,37032480
-24,67166573;-0,18516240
-24,66666573;-0,74126480
-24,66166573;0,00000000
-24,65666573;-0,37032480
-24,65166573;-0,37032480
-24,64666573;0,18516240
-24,64166573;1,11220500
