# Frequenz: 4000 Hz
# Abtastrate: 7000 Samples/s
# Abtastpunkt, Wert
0, 2240
1, 2366
2, 1310
3, 3036
4, 996
5, 2938
6, 1488
7, 2144
8, 2416
9, 1272
10, 3054
11, 998
12, 2904
13, 1534
14, 2092
15, 2464
16, 1238
17, 3068
18, 1010
19, 2872
20, 1590
21, 2032
22, 2520
23, 1198
24, 3080
25, 1022
26, 2840
27, 1634
28, 1982
29, 2574
30, 1164
31, 3090
32, 1040
33, 2796
34, 1692
35, 1920
36, 2616
37, 1136
38, 3098
39, 1058
40, 2758
41, 1742
42, 1856
43, 2668
44, 1108
45, 3102
46, 1080
47, 2712
48, 1800
49, 1806
50, 2708
51, 1084
52, 3102
53, 1108
54, 2666
55, 1860
56, 1746
57, 2754
58, 1060
59, 3098
60, 1132
61, 2622
62, 1914
63, 1698
64, 2792
65, 1042
66, 3092
67, 1166
68, 2568
69, 1976
70, 1644
71, 2834
72, 1024
73, 3082
74, 1198
75, 2524
76, 2026
77, 1584
78, 2874
79, 1010
80, 3070
81, 1234
82, 2470
83, 2086
84, 1540
85, 2904
86, 1000
87, 3056
88, 1268
89, 2422
90, 2138
91, 1486
92, 2940
93, 990
94, 3036
95, 1312
96, 2364
97, 2198
98, 1442
99, 2966
100, 990
101, 3018
102, 1350
103, 2314
104, 2250
105, 1392
106, 2996
107, 984
108, 2992
109, 1398
110, 2252
111, 2310
112, 1352
113, 3016
114, 986
115, 2968
116, 1440
117, 2204
118, 2370
119, 1306
120, 3040
121, 990
122, 2934
123, 1492
124, 2142
125, 2418
126, 1270
127, 3056
128, 998
129, 2908
130, 1536
131, 2090
132, 2466
133, 1236
134, 3072
135, 1010
136, 2868
137, 1594
138, 2028
139, 2522
140, 1198
141, 3082
142, 1022
143, 2836
144, 1640
145, 1976
146, 2570
147, 1166
148, 3092
149, 1042
150, 2790
151, 1698
152, 1912
153, 2622
154, 1132
155, 3098
156, 1060
157, 2754
158, 1748
159, 1860
160, 2664
161, 1108
162, 3102
163, 1084
164, 2706
165, 1808
166, 1798
167, 2716
168, 1080
169, 3100
170, 1108
171, 2664
172, 1860
173, 1748
174, 2754
175, 1060
176, 3098
177, 1132
178, 2614
179, 1922
180, 1690
181, 2798
182, 1038
183, 3090
184, 1166
185, 2570
186, 1974
187, 1642
188, 2834
189, 1024
190, 3080
191, 1202
192, 2516
193, 2036
194, 1584
195, 2876
196, 1010
197, 3070
198, 1234
199, 2468
200, 2088
201, 1536
202, 2906
203, 1000
204, 3056
205, 1270
206, 2412
207, 2150
208, 1484
209, 2942
210, 990
211, 3036
212, 1312
213, 2362
214, 2204
215, 1440
216, 2966
217, 986
218, 3018
219, 1358
220, 2304
221, 2260
222, 1390
223, 2994
224, 986
225, 2992
226, 1398
227, 2252
228, 2314
229, 1350
230, 3018
231, 986
232, 2966
233, 1442
234, 2200
235, 2372
236, 1302
237, 3040
238, 992
239, 2934
240, 1496
241, 2136
242, 2420
243, 1266
244, 3058
245, 1000
246, 2906
247, 1540
248, 2084
249, 2470
250, 1232
251, 3074
252, 1012
253, 2866
254, 1592
255, 2024
256, 2526
257, 1194
258, 3082
259, 1024
260, 2836
261, 1650
262, 1964
263, 2578
264, 1160
265, 3092
266, 1042
267, 2792
268, 1698
269, 1912
270, 2622
271, 1132
272, 3098
273, 1060
274, 2754
275, 1756
276, 1850
277, 2672
278, 1108
279, 3100
280, 1084
281, 2706
282, 1806
283, 1798
284, 2716
285, 1080
286, 3102
287, 1108
288, 2664
289, 1860
290, 1748
291, 2762
292, 1056
293, 3096
294, 1140
295, 2612
296, 1928
297, 1686
298, 2800
299, 1038
300, 3092
301, 1166
302, 2568
303, 1976
304, 1638
305, 2836
306, 1024
307, 3082
308, 1204
309, 2510
310, 2040
311, 1580
312, 2882
313, 1008
314, 3068
315, 1238
